siren;name;codeNAF;employeesCategory;address;position
005520135;CHANVI GESTION;74.1J;;253 RUE DE MENCHECOURT, 80100 ABBEVILLE;[2.3522,48.8566]
005520135;CHANVI GESTION;74.1J;;32 PL DE LA GARE - LILLE, 59000 LILLE;[2.3522,48.8566]
005520135;CHANVI GESTION;74.1J;;70 RUE DE LAUSANNE, 01220 DIVONNE-LES-BAINS;[2.3522,48.8566]
005520176;HERNAS CARTONNAGE;17.21A;21;50 RUE PASTEUR, 80210 FEUQUIERES-EN-VIMEU;[2.3522,48.8566]
005520176;HERNAS CARTONNAGE;17.21A;21;ZONE DES HAYETTES, 80210 CHEPY;[2.3522,48.8566]
005520200;EDEN CINEMA;81.21;;4 RUE PIERRE CURIE, 80220 GAMACHES;[2.3522,48.8566]
005520234;MONSIGNY;59.10;;ZONE INDUSTRIELLE, 80210 FEUQUIERES-EN-VIMEU;[2.3522,48.8566]
005520242;PROSPA;20.30Z;12;3 RUE DU 43 RIC, 80510 LONGPRE-LES-CORPS-SAINTS;[2.3522,48.8566]
005520242;PROSPA;20.30Z;12;55 BOULEVARD DE SEBASTOPOL, 75001 PARIS;[2.3522,48.8566]
005520242;PROSPA;20.30Z;12;88 RUE ROBESPIERRE, 93100 MONTREUIL;[2.3522,48.8566]
005520242;PROSPA;20.30Z;12;14 RUE LESAULT, 93500 PANTIN;[2.3522,48.8566]
005520242;PROSPA;20.30Z;12;14 RUE LESAULT, 93500 PANTIN;[2.3522,48.8566]
